case_number,category,description,location_address,latitude,longitude,incident_date,province,city,hour,day_of_week,time_period
CR-2025-000111,DOMESTIC_VIOLENCE,I am filing a report against my elder brother who has been physically abusing our elderly mother at our family home in Peoples Colony Gujranwala. He wants to sell the family property and our mother refuses to sign papers. For the past year he has been hitting her and withholding food and medicine. Yesterday he pushed her causing her to fall and sustain head injury. She is 72 years old and diabetic. I have photos of her injuries and neighbor testimonies. He needs to be stopped immediately.,"251-F, Main Road, Peoples Colony, near the shopping plaza, Gujranwala",32.193538,74.228619,2025-05-07 11:23:23+00:00,Punjab,Gujranwala,11,2,morning
CR-2025-000112,ROBBERY,Three masked robbers entered my grocery shop on Shahdara Lahore around 11 PM just as I was closing for the day. The leader pointed a revolver at my head and demanded all the money. I handed over approximately Rs. 210000 from the register and safe. They also took expensive items from the display. Before leaving they warned me not to call police for 30 minutes. They escaped on a black motorcycle towards the bypass. A customer who had just left may have seen them arrive. I am still traumatized by the experience.,"343-J, Main Road, Shahdara, behind the restaurant, Lahore",31.545902,74.44025,2025-01-18 10:14:10+00:00,Punjab,Lahore,10,5,morning
CR-2025-000113,DOMESTIC_VIOLENCE,I have been suffering torture at the hands of my mother-in-law and sister-in-law since my marriage at our home in Johar Town Lahore. They regularly beat me for minor things like cooking mistakes. Yesterday my mother-in-law caused burn marks because I was late in serving tea. They also demand more dowry from my parents and threaten me constantly. My husband either ignores this or sometimes joins them. I am currently at my parents house and have medical records from hospital visits.,"House 21, Street 47, Block F, Johar Town, Lahore",31.469855,74.345752,2025-01-25 11:34:08+00:00,Punjab,Lahore,11,5,morning
CR-2025-000114,HARASSMENT,I am reporting workplace harassment by my supervisor at my office in Rahwali Gujranwala. Over the past month he has made inappropriate comments about my appearance asked me to work late unnecessarily and tried to touch me inappropriately on multiple occasions. Last week he explicitly suggested that my career advancement depends on being friendly with him. When I refused he threatened to give me negative reviews and make my work life difficult. I have text messages from him on WhatsApp at inappropriate hours asking personal questions. Other female colleagues have experienced similar behavior but are afraid to report.,"Plot 207, Block G, Rahwali, close to the market, Gujranwala",32.165359,74.228545,2024-11-18 00:26:20+00:00,Punjab,Gujranwala,0,0,late_night
CR-2025-000115,ROBBERY,I was robbed at gunpoint evening around 5:30 PM while walking home near Valencia Town Lahore. Two men on a white Honda CG-125 stopped me and the pillion rider pointed a gun at my chest. They demanded my wallet phone and watch threatening to harm me if I resisted. I handed over approximately Rs. 75000 in cash my Realme 11 Pro worth Rs. 200000 and my wristwatch. They also took my gold chain from around my neck. They fled towards the main road at high speed. I was too terrified to get a good look at their faces but the gunman was a well-built male and young man in his early 20s.,"Shop 35, Valencia Town Commercial Area, near railway crossing, Lahore",31.539504,74.345024,2026-01-19 17:45:22+00:00,Punjab,Lahore,17,0,afternoon
CR-2025-000116,FRAUD,I was defrauded by a seller on OLX Pakistan. I found an advertisement for an Oppo Reno 10 at Rs. 60000 which was attractive pricing. The seller communicated via WhatsApp and seemed genuine with proper photos and videos of the product. He asked for full payment in advance via Easypaisa promising delivery within 2 days. After I transferred the money he sent a fake tracking number. When I checked the courier website the number did not exist. The seller blocked me on WhatsApp and all contact numbers are now switched off. I am from Faisal Town Lahore and this was money I had saved for months.,"Plot 22, Block C, Faisal Town, near the main mosque, Lahore",31.481459,74.327215,2025-11-27 23:49:16+00:00,Punjab,Lahore,23,3,evening
CR-2025-000117,ROBBERY,I was robbed immediately after withdrawing cash from a Bank Alfalah ATM in Peoples Colony No. 2 Faisalabad evening around 5:30 PM. A man who appeared to be watching me at the ATM followed me for about 50 meters until I reached a quieter area and then confronted me. He showed me a pistol hidden under his shirt and demanded all the cash I had just withdrawn which was Rs. 60000. He also took my mobile phone and wallet. He was a thin and slim person wearing ordinary casual clothes. He escaped on foot into a nearby gali. I am certain he was specifically targeting ATM users.,"House 332, Street 47, Block G, Peoples Colony No. 2, Faisalabad",31.363323,73.030816,2025-07-07 21:36:01+00:00,Punjab,Faisalabad,21,0,evening
CR-2025-000118,THEFT,At Kotwali Road around 7 PM my wallet was pickpocketed while I was shopping in the crowded bazaar. I was distracted looking at merchandise when someone took my wallet from my trouser pocket. The wallet contained Rs. 10000 in cash my CNIC several debit cards and my driving license. I did not feel anything and only discovered the theft when I tried to make a payment at a shop. This was clearly work of an expert pickpocket operating in the area.,"House 425, Street 21, Block E, Kotwali Road, Faisalabad",31.412921,73.040769,2026-01-28 22:14:05+00:00,Punjab,Faisalabad,22,2,evening
CR-2025-000119,ROBBERY,My medical store in Green Town Lahore was robbed evening around 5:30 PM by three armed men as I was preparing to close. They entered with faces covered and one was carrying a black pistol. They forced me to hand over all the cash in the register which was about Rs. 500000 and took valuable merchandise worth additional Rs. 63678. The robbery lasted about 5-8 minutes during which they threatened to harm me if I called for help. They fled on a motorcycle without number plate. I have partial CCTV footage that may help identify them.,"Plot 300, Block C, Green Town, near the petrol pump, Lahore",31.572799,74.32411,2025-03-01 03:25:06+00:00,Punjab,Lahore,3,5,late_night
CR-2025-000120,OTHER,Unknown persons vandalized my shop in Gulberg III Lahore during the night. They spray-painted threatening messages in Urdu on my property and broke windows causing damage worth approximately Rs. 20000. I believe this is the work of a competitor who had verbally threatened me last week after I refused to close my business. The area guard claims he was not present when this happened which seems suspicious. I have reported the earlier verbal threat to police but no action was taken. I fear for my safety and my family's well-being.,"Shop 31, Gulberg III Commercial Area, behind the factory, Lahore",31.472093,74.378372,2025-06-03 02:07:43+00:00,Punjab,Lahore,2,1,late_night
CR-2025-000121,BURGLARY,I am reporting a burglary at my trading company office in Peoples Colony No. 1 Faisalabad. The break-in occurred during the weekend when the facility was closed. The thieves entered through the service entrance and broke open the office safe taking Rs. 500000 meant for supplier payments. They also took computers and documents. The night watchman claims he was overpowered by multiple armed men. Based on their knowledge of our layout I suspect they had inside help. Security footage from neighboring buildings may have captured their vehicle.,"Plot 241, Block J, Peoples Colony No. 1, behind the restaurant, Faisalabad",31.361424,73.096779,2025-09-08 09:07:59+00:00,Punjab,Faisalabad,9,0,morning
CR-2025-000122,THEFT,At around 2:30 AM near Madina Town my mobile phone was snatched by two individuals on a blue Yamaha YBR. I had just finished a call and was putting my phone in my pocket when the pillion rider forcefully grabbed it from my hand. The motorcycle without number plate. The snatcher no face covering and was formal pants and shirt. They fled at high speed towards the bypass. My OnePlus 11 worth Rs. 160000 is now gone along with all my contacts and data. The street was relatively empty at that hour and there were no witnesses around.,"House 369, Street 23, Block C, Madina Town, Faisalabad",31.38022,73.093543,2025-08-13 06:35:21+00:00,Punjab,Faisalabad,6,2,morning
CR-2025-000123,BURGLARY,I am reporting a break-in at my jewelry shop located in DHA Phase 6 Lahore. Unknown persons burglarized the shop during the night by picking the lock professionally. They stole items worth approximately Rs. 475000 plus cash from the hidden drawer that only employees know about suggesting inside information. By the time I arrived in the morning the shop had been completely ransacked. I have inventory list of all stolen items. Building security camera may have recorded suspicious activity.,"Plot 460, Block B, DHA Phase 6, behind the restaurant, Lahore",31.592028,74.331102,2025-11-01 14:41:15+00:00,Punjab,Lahore,14,5,afternoon
CR-2025-000124,ROBBERY,Three masked robbers entered my electronics shop on Ichhra Lahore around midnight just as I was closing for the day. The leader pointed a revolver at my head and demanded all the money. I handed over approximately Rs. 415000 from the register and safe. They also took expensive items from the display. Before leaving they warned me not to call police for 30 minutes. They escaped on a black motorcycle towards the bypass. A customer who had just left may have seen them arrive. I am still traumatized by the experience.,"House 273, Street 44, Block F, Ichhra, Lahore",31.498092,74.249845,2025-06-14 03:21:22+00:00,Punjab,Lahore,3,5,late_night
CR-2025-000125,THEFT,My motorcycle Honda 125 was stolen from outside a shop in Mall Road Lahore afternoon around 2 PM while I was inside for just 10-15 minutes. I had properly locked the handle lock but the thieves must have loaded it onto a vehicle. The registration number was LEA-6673. Total value approximately Rs. 105000. A nearby shopkeeper mentioned seeing two suspicious young men loitering near the bikes earlier. CCTV footage from neighboring shops might be available for police investigation.,"Shop 41, Mall Road Commercial Area, opposite the clinic, Lahore",31.571896,74.308187,2026-01-10 20:29:45+00:00,Punjab,Lahore,20,5,evening
CR-2025-000126,DOMESTIC_VIOLENCE,I am filing a report against my elder brother who has been physically abusing our elderly mother at our family home in Cantt Lahore. He wants to sell the family property and our mother refuses to sign papers. For the past year he has been hitting her and withholding food and medicine. Yesterday he pushed her causing her to fall and sustain broken wrist. She is 72 years old and diabetic. I have photos of her injuries and neighbor testimonies. He needs to be stopped immediately.,"House 306-J, Street 15, Cantt, close to the market, Lahore",31.453345,74.39754,2025-02-21 11:53:56+00:00,Punjab,Lahore,11,4,morning
CR-2025-000127,FRAUD,I was defrauded by a seller on OLX Pakistan. I found an advertisement for an Samsung A54 at Rs. 80000 which was attractive pricing. The seller communicated via WhatsApp and seemed genuine with proper photos and videos of the product. He asked for full payment in advance via JazzCash promising delivery within 2 days. After I transferred the money he sent a fake tracking number. When I checked the courier website the number did not exist. The seller blocked me on WhatsApp and all contact numbers are now switched off. I am from Model Town Lahore and this was money I had saved for months.,"Shop 25, Model Town Commercial Area, near the main mosque, Lahore",31.485064,74.335389,2025-12-01 11:20:16+00:00,Punjab,Lahore,11,0,morning
CR-2025-000128,THEFT,Construction materials were stolen from my plot under construction in Nishan-e-Manzil area Gujranwala. The theft occurred during pre-dawn hours while the site was unguarded. The thieves took approximately 50 tiles and sanitary items worth Rs. 475000. They appeared to have used a Suzuki Ravi pickup to haul away the materials. The neighboring site watchman said he saw a loading vehicle around 4 AM but did not find it suspicious at the time. This is the second theft at construction sites in our neighborhood this month.,"Shop 99, Nishan-e-Manzil area Commercial Area, at the bus stop, Gujranwala",32.171363,74.15673,2025-10-19 20:11:22+00:00,Punjab,Gujranwala,20,6,evening
CR-2025-000129,OTHER,I am reporting vandalism and property damage at my office in Data Darbar area Lahore. Sometime during the night unknown persons damaged my property causing losses of approximately Rs. 140000. They wrote threatening messages on the walls and broke glass panels. I suspect my neighbor with whom I have an ongoing dispute about a boundary issue. He had threatened me last week. I have partial CCTV footage showing figures near my property around 2 AM but faces are not clearly visible. The damage has caused me significant financial loss and mental stress.,"House 400-D, Street 31, Data Darbar area, near the petrol pump, Lahore",31.600223,74.241434,2024-11-05 03:32:28+00:00,Punjab,Lahore,3,1,late_night
CR-2025-000130,DOMESTIC_VIOLENCE,My husband has been physically and mentally abusing me for the since marriage at our residence in Main Bazaar Gujranwala. The violence has been escalating. Yesterday night he attacked me with his hands and belt leaving head injury. I was dizzy for hours and had to go to hospital. My children were crying and begging him to stop. He was drunk when this happened. I have documented my injuries with photos. I fear for my life and my children's safety.,"House 176, Street 15, Block E, Main Bazaar, Gujranwala",32.206259,74.200563,2025-10-31 04:16:03+00:00,Punjab,Gujranwala,4,4,late_night
CR-2025-000131,DOMESTIC_VIOLENCE,I have been suffering torture at the hands of my mother-in-law and sister-in-law since my marriage at our home in DHA Phase 3 Lahore. They regularly beat me for minor things like cooking mistakes. Yesterday my mother-in-law caused burn marks because I was late in serving tea. They also demand more dowry from my parents and threaten me constantly. My husband either ignores this or sometimes joins them. I am currently at my parents house and have medical records from hospital visits.,"Flat 409, Al-Fatah Heights, DHA Phase 3, Lahore",31.546231,74.448802,2025-10-25 21:03:07+00:00,Punjab,Lahore,21,5,evening
CR-2025-000132,OTHER,Unknown persons vandalized my office in Main Bazaar Gujranwala during the night. They spray-painted threatening messages in Urdu on my property and broke windows causing damage worth approximately Rs. 15000. I believe this is the work of a competitor who had verbally threatened me last week after I refused to close my business. The area guard claims he was not present when this happened which seems suspicious. I have reported the earlier verbal threat to police but no action was taken. I fear for my safety and my family's well-being.,"Shop 70, Main Bazaar Commercial Area, close to the market, Gujranwala",32.161579,74.192771,2024-11-05 08:47:53+00:00,Punjab,Gujranwala,8,1,morning
CR-2025-000133,BURGLARY,My electronics store in Anarkali Bazaar Lahore was broken into last night. The thieves entered by picking the lock professionally from the adjacent vacant property which is under construction. They took merchandise worth Rs. 325000 and cash from the drawer. The main shutter was intact so neighbors did not notice anything until I opened in the morning. I have serial numbers and IMEI numbers of stolen items. Some shopkeepers heard noise around 3 AM but thought it was cats or construction workers. The jewelry shop across the street has CCTV that might have captured the thieves.,"371-C, Main Road, Anarkali Bazaar, at the bus stop, Lahore",31.404134,74.248084,2025-06-14 09:16:31+00:00,Punjab,Lahore,9,5,morning
CR-2025-000134,THEFT,My bicycle imported racing bike was stolen from outside a shop in Bhatti Gate Lahore around noon while I was inside for just 10-15 minutes. I had properly locked the handle lock but the thieves must have loaded it onto a vehicle. The registration number was LEA-5128. Total value approximately Rs. 155000. A nearby shopkeeper mentioned seeing two suspicious young men loitering near the bikes earlier. CCTV footage from neighboring shops might be available for police investigation.,"Flat 707, Central Heights, Bhatti Gate, Lahore",31.426475,74.266553,2025-03-20 23:06:21+00:00,Punjab,Lahore,23,3,evening
CR-2025-000135,THEFT,When I came out to my car this morning parked outside my house in Model Town Lahore I found that all four wheel caps had been stolen sometime during the night. The car a Honda Civic was parked on the street as our garage was occupied. The thieves worked silently without disturbing anyone in the house. There were no signs of forced entry to the car interior so they must have used professional tools. The total loss is approximately Rs. 80000. Several other cars on our street have been similarly targeted in recent weeks. We need increased police patrolling in this area.,"Plot 154, Block H, Model Town, near the college, Lahore",31.47599,74.28096,2025-05-12 04:06:23+00:00,Punjab,Lahore,4,0,late_night
CR-2025-000136,THEFT,I want to report a chain snatching incident that happened after 1 AM near Gulfishan Colony Faisalabad. I was walking alone when a maroon Honda 125 came up from behind. The person sitting at the back yanked my gold necklace off my neck causing injuries. The chain was 1 tola gold worth approximately Rs. 195000. The force of the pull caused my neck to bleed and left visible scratches. I was immediately taken to a nearby hospital for treatment of my injuries.,"256-J, Main Road, Gulfishan Colony, behind the restaurant, Faisalabad",31.423577,73.107867,2025-06-22 21:28:32+00:00,Punjab,Faisalabad,21,6,evening
CR-2025-000137,FRAUD,I lost Rs. 145000 to an online scammer on OLX Pakistan. They were advertising an iPhone 14 Pro at an attractive price. After negotiating on WhatsApp I was convinced to pay in advance via bank transfer. They promised delivery through courier within 3 days. The tracking number provided was fake and the product never arrived. The seller has disappeared and all contact numbers are unreachable. I have saved all chat history and payment receipts from my residence in DHA Phase 6 Lahore. This was clearly a planned fraud.,"House 499, Street 8, Block D, DHA Phase 6, Lahore",31.4644,74.320784,2026-01-03 07:51:28+00:00,Punjab,Lahore,7,5,morning
CR-2025-000138,FRAUD,I was defrauded by a seller on Instagram. I found an advertisement for an iPhone 14 Pro at Rs. 285000 which was attractive pricing. The seller communicated via WhatsApp and seemed genuine with proper photos and videos of the product. He asked for full payment in advance via JazzCash promising delivery within 2 days. After I transferred the money he sent a fake tracking number. When I checked the courier website the number did not exist. The seller blocked me on WhatsApp and all contact numbers are now switched off. I am from DHA Phase 2 Lahore and this was money I had saved for months.,"Plot 241, Block A, DHA Phase 2, close to the school, Lahore",31.490401,74.227057,2025-06-14 20:23:51+00:00,Punjab,Lahore,20,5,evening
CR-2025-000139,FRAUD,I received a phone call early morning around 6 AM from someone claiming to be from UBL bank security department. The caller spoke very professionally and said there was suspicious activity on my account that required immediate verification. Being frightened I gave them my account number and the OTP that came on my phone. Within 10 minutes Rs. 470000 was transferred out of my account in multiple transactions. When I called the real UBL helpline they confirmed it was a scam. I am a elderly person from Samanabad Faisalabad and this was my pension savings. I have call records and transaction details as evidence.,"House 141-K, Street 25, Samanabad, opposite the hospital, Faisalabad",31.436364,73.041402,2025-01-20 22:25:17+00:00,Punjab,Faisalabad,22,0,evening
CR-2025-000140,THEFT,At Hall Road early morning around 6 AM my wallet was pickpocketed while I was shopping in the crowded bazaar. I was distracted looking at merchandise when someone took my wallet from my trouser pocket. The wallet contained Rs. 40000 in cash my CNIC several debit cards and my driving license. I did not feel anything and only discovered the theft when I tried to make a payment at a shop. This was clearly work of an expert pickpocket operating in the area.,"House 16, Street 36, Block C, Hall Road, Lahore",31.562317,74.30697,2025-02-15 17:12:57+00:00,Punjab,Lahore,17,5,afternoon
CR-2025-000141,DOMESTIC_VIOLENCE,My husband has been physically and mentally abusing me for the past six months at our residence in Peoples Colony No. 1 Faisalabad. The violence has been escalating. Yesterday night he attacked me with his hands and belt leaving broken wrist. I was dizzy for hours and had to go to hospital. My children were crying and begging him to stop. He was drunk when this happened. I have documented my injuries with photos. I fear for my life and my children's safety.,"House 327-E, Street 12, Peoples Colony No. 1, at the bus stop, Faisalabad",31.416756,73.126408,2025-09-23 19:15:23+00:00,Punjab,Faisalabad,19,1,evening
CR-2025-000142,THEFT,My smartphone was snatched around 8:30 PM while I was walking near Gulfishan Colony in Faisalabad. Two suspects on a white motorcycle approached slowly from behind. Before I could react the pillion rider wearing full-face black helmet grabbed my phone and they accelerated away at high speed. Both appeared to be man in his 50s. The motorcycle had number plate removed. I was talking on my Samsung A54 worth Rs. 40000 when this happened. I tried to chase them but they disappeared into a narrow gali. The whole incident happened in seconds.,"House 312, Street 14, Block K, Gulfishan Colony, Faisalabad",31.420345,73.08746,2025-06-20 00:59:25+00:00,Punjab,Faisalabad,0,4,late_night
CR-2025-000143,BURGLARY,I am reporting a burglary at my residence in DHA Phase 2 Lahore. The incident occurred while we were visiting relatives for the evening. The burglars broke in through the back window after cutting the CCTV wires. They systematically searched every room taking only valuables. We lost gold jewelry worth 5 tola cash Rs. 285000 and several electronics. Nothing large was taken suggesting they had a white Suzuki Bolan waiting. Neighbors reported seeing an unfamiliar vehicle in the area. The burglars appeared to know our schedule as the robbery happened when the house was empty.,"425-C, Main Road, DHA Phase 2, opposite the hospital, Lahore",31.539774,74.23247,2025-04-14 15:54:22+00:00,Punjab,Lahore,15,0,afternoon
CR-2025-000144,ROBBERY,I am reporting an armed robbery that occurred mid-morning around 10:30 AM near D-Ground Faisalabad. While I was walking back from the market a white Honda CG-125 blocked my path. The rider showed me a large knife about 6 inches and demanded everything I had. I gave them my wallet containing Rs. 50000 my Tecno Camon 20 and gold ring. The suspect was a muscular individual mature man around 45-50. They escaped quickly and I was left stranded and traumatized. There were no witnesses around to help me. I immediately called police helpline after the incident.,"Flat 706, City Heights, D-Ground, Faisalabad",31.463111,73.061864,2025-06-17 15:59:18+00:00,Punjab,Faisalabad,15,1,afternoon
CR-2025-000145,OTHER,For the past 10 days I have noticed two men on a black motorcycle regularly watching outside the school in Batala Colony Faisalabad. They come around 4-5 PM when most families are at work and the area is quiet. They have been photographing gates and windows and asking domestic workers about family routines. They appear to be in their 30s and seem to be doing surveillance. Many neighbors have noticed them too. We believe they are planning burglaries and request police to patrol our area and investigate these suspicious individuals. The motorcycle registration starts with partial number that we have noted.,"381-A, Main Road, Batala Colony, behind the restaurant, Faisalabad",31.354468,73.123194,2025-03-14 22:55:00+00:00,Punjab,Faisalabad,22,4,evening
CR-2025-000146,DOMESTIC_VIOLENCE,I am reporting domestic violence by my husband at our home in Johar Town Lahore. For the past year he has been physically abusing me regularly. Last night around 10 PM he came home in a bad mood and beat me severely causing burn marks. My children witnessed the violence and are traumatized. He has threatened to kill me if I report to anyone. I have photos of my injuries and previous hospital records. I am currently hiding at my parents house and am afraid to return.,"Shop 95, Johar Town Commercial Area, near the shopping plaza, Lahore",31.417921,74.249607,2025-05-25 11:33:33+00:00,Punjab,Lahore,11,6,morning
CR-2025-000147,BURGLARY,I am reporting a burglary at my residence in Peoples Colony Gujranwala. The incident occurred while we were at a family function for the evening. The burglars broke in through the back window after cutting the CCTV wires. They systematically searched every room taking only valuables. We lost gold jewelry worth 20 tola cash Rs. 285000 and several electronics. Nothing large was taken suggesting they had a grey car waiting. Neighbors reported seeing an unfamiliar vehicle in the area. The burglars appeared to know our schedule as the robbery happened when the house was empty.,"Plot 474, Block F, Peoples Colony, opposite the bank, Gujranwala",32.174251,74.180652,2025-05-30 00:32:03+00:00,Punjab,Gujranwala,0,4,late_night
CR-2025-000148,FRAUD,I received a phone call around 8:30 PM from someone claiming to be from HBL bank security department. The caller spoke very professionally and said there was suspicious activity on my account that required immediate verification. Being frightened I gave them my account number and the OTP that came on my phone. Within 10 minutes Rs. 185000 was transferred out of my account in multiple transactions. When I called the real HBL helpline they confirmed it was a scam. I am a elderly person from Industrial Estate Faisalabad and this was my pension savings. I have call records and transaction details as evidence.,"House 293-H, Street 29, Industrial Estate, near railway crossing, Faisalabad",31.404631,73.147547,2025-03-22 03:33:53+00:00,Punjab,Faisalabad,3,5,late_night
CR-2025-000149,THEFT,I am reporting a mobile phone snatching incident that occurred around noon near Gulberg II Lahore. I was checking messages on my Vivo V29 while walking when two men approached from behind on a dark colored motorcycle bent and obscured plate. The pillion rider gamcha covering face quickly snatched my phone from my hand. They immediately sped away towards the main road. The rider was wearing white shalwar kameez and both appeared to be person appearing 35-40 years. My phone is worth approximately Rs. 290000. Several people at a nearby shop may have witnessed the incident. I am still shaken by the experience.,"109-C, Main Road, Gulberg II, opposite the bank, Lahore",31.428009,74.299268,2025-03-15 18:17:45+00:00,Punjab,Lahore,18,5,evening
CR-2025-000150,ASSAULT,I was attacked by a group of 5-6 young men on the main road near Allama Iqbal Town Lahore around midnight. I accidentally made eye contact with one of them inside a restaurant earlier. They followed me outside and confronted me asking why I was staring. Before I could respond they started beating me with fists and sticks. The attack lasted about 5 minutes until some restaurant staff came out and they ran away. They arrived on multiple motorcycles and seemed intoxicated. I suffered severe bruising. One attacker had a distinctive tattoo on his forearm. Medical reports are available from the hospital. Restaurant staff can identify some of them.,"House 430-E, Street 7, Allama Iqbal Town, opposite the bank, Lahore",31.607072,74.246353,2025-10-02 20:10:49+00:00,Punjab,Lahore,20,3,evening
CR-2025-000151,THEFT,I want to report a chain snatching incident that happened around 7 PM near Peoples Colony No. 2 Faisalabad. I was walking alone when a Suzuki GD-110 came up from behind. The person sitting at the back yanked my gold necklace off my neck causing injuries. The chain was 2 tola gold worth approximately Rs. 390000. The force of the pull caused my neck to bleed and left visible scratches. I was immediately taken to a nearby hospital for treatment of my injuries.,"House 247-G, Street 8, Peoples Colony No. 2, close to the school, Faisalabad",31.442698,73.141886,2025-09-09 09:33:21+00:00,Punjab,Faisalabad,9,1,morning
CR-2025-000152,HARASSMENT,I want to report stalking by an unknown man who has been following me for the several days near PCSIR Society Lahore. I am a 22-year-old working woman and this person on a black Yamaha motorcycle appears on my route to work every morning. He makes inappropriate gestures and says disgusting things when he comes near me. He is middle-aged man around 40. Yesterday he tried to grab my dupatta while I was waiting for transport. I am scared to leave my house now and need urgent police intervention.,"413-F, Main Road, PCSIR Society, near railway crossing, Lahore",31.492643,74.391092,2024-12-31 13:20:56+00:00,Punjab,Lahore,13,1,afternoon
CR-2025-000153,ASSAULT,I was attacked and beaten by four men outside my workplace in DHA Phase 6 Lahore around 11 PM. They were waiting in a grey Suzuki Cultus. As I arrived they ambushed me beating me with iron rods and sticks. They shouted this is a message referring to a legal case I am involved in. My left arm was broken and I have head injuries. I was hospitalized for several days. My colleague witnessed everything but was too scared to intervene. The CCTV at my workplace recorded the attack including partial number plate of the attackers vehicle. I believe the attack was orchestrated by someone I know related to the ongoing dispute.,"House 228-G, Street 20, DHA Phase 6, behind the restaurant, Lahore",31.428467,74.354618,2025-03-02 22:59:33+00:00,Punjab,Lahore,22,6,evening
CR-2025-000154,BURGLARY,I am reporting a burglary at my steel factory office in Gakhar Mandi Gujranwala. The break-in occurred during the weekend when the facility was closed. The thieves entered through the service entrance and broke open the office safe taking Rs. 500000 meant for supplier payments. They also took computers and documents. The night watchman claims he was overpowered by multiple armed men. Based on their knowledge of our layout I suspect they had inside help. Security footage from neighboring buildings may have captured their vehicle.,"Plot 206, Block G, Gakhar Mandi, at the bus stop, Gujranwala",32.149424,74.224104,2025-06-23 00:18:45+00:00,Punjab,Gujranwala,0,0,late_night
CR-2025-000155,BURGLARY,I am reporting a break-in at my electronics store located in Mansoorabad Faisalabad. Unknown persons burglarized the shop during the night by breaking the window grill. They stole items worth approximately Rs. 395000 plus cash from the hidden drawer that only employees know about suggesting inside information. By the time I arrived in the morning the shop had been completely ransacked. I have inventory list of all stolen items. Building security camera may have recorded suspicious activity.,"House 157-K, Street 36, Mansoorabad, near the college, Faisalabad",31.420869,73.146106,2025-12-11 13:11:23+00:00,Punjab,Faisalabad,13,3,afternoon
CR-2025-000156,HARASSMENT,I am being cyber harassed and blackmailed by an unknown person who has stolen my photos from social media. They have created fake profiles on Facebook and are threatening to share edited inappropriate pictures with my family and workplace unless I meet their demands. The harassment started past two weeks ago. They call from different numbers and send threatening WhatsApp messages. I live in Cantt Lahore and work as a teacher. This person seems to know details about my life suggesting they might be watching me. I have saved all evidence.,"Plot 81, Block B, Cantt, behind the restaurant, Lahore",31.579279,74.208912,2025-06-22 21:39:39+00:00,Punjab,Lahore,21,6,evening
CR-2025-000157,ROBBERY,I was robbed at gunpoint around 2:30 AM while walking home near Askari 10 Lahore. Two men on a Suzuki GD-110 stopped me and the pillion rider pointed a black pistol at my chest. They demanded my wallet phone and watch threatening to harm me if I resisted. I handed over approximately Rs. 30000 in cash my OnePlus 11 worth Rs. 200000 and my wristwatch. They also took my gold chain from around my neck. They fled towards the main road at high speed. I was too terrified to get a good look at their faces but the gunman was a heavy-set individual and young man in his early 20s.,"House 278, Street 47, Block F, Askari 10, Lahore",31.609971,74.345033,2025-10-07 16:28:07+00:00,Punjab,Lahore,16,1,afternoon
CR-2025-000158,BURGLARY,I am reporting a burglary at my steel factory office in Small Industrial Estate Gujranwala. The break-in occurred during the weekend when the facility was closed. The thieves entered through the service entrance and broke open the office safe taking Rs. 500000 meant for supplier payments. They also took computers and documents. The night watchman claims he was overpowered by multiple armed men. Based on their knowledge of our layout I suspect they had inside help. Security footage from neighboring buildings may have captured their vehicle.,"House 467-C, Street 40, Small Industrial Estate, near the college, Gujranwala",32.187903,74.205786,2025-08-13 21:06:05+00:00,Punjab,Gujranwala,21,2,evening
CR-2025-000159,ROBBERY,At around 8:30 PM near Cavalry Ground Lahore I was robbed by a man who had been watching me at the UBL ATM. I had withdrawn Rs. 120000 for household expenses. The suspect followed me on foot and blocked my path near a dark corner. He threatened me with a concealed weapon and demanded my money. He was a average build person speaking in threatening tone. He took all my cash my phone and my gold ring. He ran into the nearby residential area after the robbery. The ATM camera should have recorded his face.,"Plot 283, Block K, Cavalry Ground, opposite the hospital, Lahore",31.567026,74.264849,2025-10-09 17:54:06+00:00,Punjab,Lahore,17,3,afternoon
CR-2025-000160,HARASSMENT,I want to report stalking by an unknown man who has been following me for the past month near Ghanta Ghar Bazaar Faisalabad. I am a 22-year-old working woman and this person on a Suzuki GS-150 appears on my route to work every morning. He makes inappropriate gestures and says disgusting things when he comes near me. He is mature man around 45-50. Yesterday he tried to grab my dupatta while I was waiting for transport. I am scared to leave my house now and need urgent police intervention.,"House 475-D, Street 11, Ghanta Ghar Bazaar, behind the restaurant, Faisalabad",31.373384,73.091521,2025-06-15 04:48:01+00:00,Punjab,Faisalabad,4,6,late_night
CR-2025-000161,THEFT,Construction materials were stolen from my plot under construction in Circular Road Gujranwala. The theft occurred during pre-dawn hours while the site was unguarded. The thieves took approximately 50 steel rods sariya worth Rs. 255000. They appeared to have used a loading rickshaw Qingqi to haul away the materials. The neighboring site watchman said he saw a loading vehicle around 4 AM but did not find it suspicious at the time. This is the second theft at construction sites in our neighborhood this month.,"Shop 59, Circular Road Commercial Area, near the main mosque, Gujranwala",32.170442,74.209273,2025-01-20 22:32:24+00:00,Punjab,Gujranwala,22,0,evening
